商品コード,法人名,商品名,型番,全国平均貸与価格（円）,貸与価格の上限（円）
00160-000288,株式会社カワムラサイクル,KMD-B22(20)-スイングイン・アウト脚部仕様,KMD-B22(20),4525,5060
00160-000290,株式会社カワムラサイクル,KMD-B16-スイングイン・アウト脚部仕様,KMD-B16,4502,5140
00160-000292,株式会社カワムラサイクル,KMD-C22(20)-スイングイン・アウト脚部仕様,KMD-C22(20),5521,6090
00160-000294,株式会社カワムラサイクル,KMD-C16-スイングイン・アウト脚部仕様,KMD-C16,5432,6000
00160-000296,株式会社カワムラサイクル,KMD-B/C-エレベーティング脚部のみ,KMD-B/C-エレベーティング脚部のみ,1507,2050
00160-000309,株式会社カワムラサイクル,アルミ製次世代型標準車いす,WARP22,5392,5970
00160-000310,株式会社カワムラサイクル,アルミ製次世代型標準車いす,WARP16,5365,5950
00160-Z00001,株式会社カワムラサイクル,ＫＡ８２２－４５,,5497,6130
00160-Z00004,株式会社カワムラサイクル,Ｓ７,,1504,1730
00160-Z00010,株式会社カワムラサイクル,ＫＬ２２－３８（４０）,,3987,4470
00160-Z00015,株式会社カワムラサイクル,Ｓ４（小）（大）,,1012,1230
00160-Z00022,株式会社カワムラサイクル,ＫＬ１６－３８（４０）Ｂ,,4194,5120
00160-Z00041,株式会社カワムラサイクル,スーパーヘッド（Ｍ・Ｓ）,,1273,1610
00160-Z00060,株式会社カワムラサイクル,ＫＬ２２－３８（４０）Ｂ,,4322,5230
00165-000003,株式会社ジェーエムシー医器研,オフセット・クォード・ケイン（スモールベース）,C-7011,900,1110
00166-000016,東陽精工株式会社,ロフストランドクラッチ,TY130,1030,1170
00166-000017,東陽精工株式会社,ロフストランドクラッチ,TY132,1068,1310
00166-000019,東陽精工株式会社,四脚杖,TY142,1039,1350
00166-000028,東陽精工株式会社,ミニ平行棒“ささえ愛”,TY500,4168,4670
00166-000046,東陽精工株式会社,アルミ合金製松葉杖“合わせてパッチン”,TY156,872,1150
00167-000002,シーホネンス株式会社,ダブルウェーブマットレス　シングル・レギュラー,MB-2500Lレギュラー,1904,2330
00167-000003,シーホネンス株式会社,ケプロコア-820R　ｼﾝｸﾞﾙ･ｼｮｰﾄ/ﾚｷﾞｭﾗｰ　ﾌﾟﾗｽﾁｯｸﾎﾞｰﾄﾞ,C-820R-P,7966,9320
00167-000004,シーホネンス株式会社,ケプロコア-830　ｼﾝｸﾞﾙ･ｼｮｰﾄ/ﾚｷﾞｭﾗｰ　ﾌﾟﾗｽﾁｯｸﾎﾞｰﾄﾞ,C-830-P,9714,11370
00167-000009,シーホネンス株式会社,後付けモーターセット,,2052,2190
00167-000010,シーホネンス株式会社,キャスター（４個１組）,K-125,720,970
00167-000011,シーホネンス株式会社,回転式アーム介助バー,K-25N,1720,2220
00167-000012,シーホネンス株式会社,ベッドサイドレール(2本1組）,K-121,435,550
00167-000013,シーホネンス株式会社,オーバーテーブル,K-135･K-135L2,510,560
00167-000014,シーホネンス株式会社,昇降サイドテーブル,PT-3202W,1581,1790
00167-000016,シーホネンス株式会社,ケプロコア-852Ｒ　ｼﾝｸﾞﾙ･ｼｮｰﾄ/ﾚｷﾞｭﾗｰ　ﾌﾟﾗｽﾁｯｸﾎﾞｰﾄﾞ,C-852R-P,5723,9760
00167-000017,シーホネンス株式会社,ケプロコア-852R　シングル・ショート／レギュラー　ＤＸ,C-852R-DX,8469,9880
00167-000021,シーホネンス株式会社,ケプロコア-883Ｒ　ｼﾝｸﾞﾙ･ｼｮｰﾄ/ﾚｷﾞｭﾗｰ　木製ﾎﾞｰﾄﾞ,Ｋ-883R,9314,12090
00167-000022,シーホネンス株式会社,ダブルウェーブマットレス・スリム　シングル・レギュラー,MB-2250Lレギュラー,1901,2200
00167-000024,シーホネンス株式会社,ソフトウェーブマットレス　シングル・レギュラー,K-160Lレギュラー,1729,2110
00167-000025,シーホネンス株式会社,ベッドサイドレール(2本1組）,K-120,421,540
00167-000026,シーホネンス株式会社,動作支援サイドレール（2本1組）,K-122,451,580
00167-000028,シーホネンス株式会社,昇降サイドテーブル,PT-4000〔M〕,2585,3060
00167-000029,シーホネンス株式会社,昇降サイドテーブル,PT-4100〔M〕,1932,2310
00167-000030,シーホネンス株式会社,オーバーベッドテーブル,PT-5000〔M〕,3281,3770
00167-000031,シーホネンス株式会社,オーバーベッドテーブル,PT-5100〔M〕,2360,3060
00167-000033,シーホネンス株式会社,ケプロコア-820R　シングル・ロング　プラスチックボード,C-820R-P,7992,9160
00167-000034,シーホネンス株式会社,ケプロコア-820R　シングル・ショート／レギュラー　木製ボード,C-820R-W,7543,9070
00167-000036,シーホネンス株式会社,ケプロコア-820R　セミダブル・レギュラー　木製ボード,C-820R-W,9643,11220
00167-000037,シーホネンス株式会社,ケプロコア-820R　セミダブル・ロング　木製ボード,C-820R-W,10657,11890
00167-000040,シーホネンス株式会社,ケプロコア-830　シングル・ショ－ト／レギュラー　木製ボード,C-830-W,10545,12640
00167-000041,シーホネンス株式会社,ケプロコア-830　セミダブル・レギュラー　木製ボード,C-830-W,11670,13580
00167-000061,シーホネンス株式会社,ダブルウェーブマットレス　Mレギュラー,MB-2500Mレギュラー,1927,2180
00167-000062,シーホネンス株式会社,ダブルウェーブマットレス　シングル・ショート,MB-2500Lショート,2074,2350
00167-000063,シーホネンス株式会社,ダブルウェーブマットレス　シングル・ロング,MB-2500Lロング,2115,2300
00167-000064,シーホネンス株式会社,ダブルウェーブマットレス　セミダブル・レギュラー,MB-2500L2レギュラー,2114,2550
00167-000065,シーホネンス株式会社,ダブルウェーブマットレス　セミダブル・ロング,MB-2500L2ロング,2610,3080
00167-000084,シーホネンス株式会社,CORE-810 1ﾓｰﾀｰ ｼﾝｸﾞﾙ･ｼｮｰﾄ/ﾚｷﾞｭﾗｰ　ﾌﾟﾗｽﾁｯｸﾎﾞｰﾄﾞ,CORE-810-P,5606,6330
00167-000085,シーホネンス株式会社,ケプロコア-810,K-810,5174,5820
00167-000087,シーホネンス株式会社,CORE-811 1ﾓｰﾀｰ ｼﾝｸﾞﾙ･ｼｮｰﾄ/ﾚｷﾞｭﾗｰ　ﾌﾟﾗｽﾁｯｸﾎﾞｰﾄﾞ,CORE-811-P,5868,6640
00167-000094,シーホネンス株式会社,リバーシブルマットレス　シングル・ショート／レギュラー,RM-100L,1997,2030
00167-000104,シーホネンス株式会社,和夢 “純”（ショート/レギュラー、2モーター、ケアモーション、樹脂木目ボード）,K-520A,8253,9460
00167-000105,シーホネンス株式会社,和夢 “純”（ショート/レギュラー、2モーター、背上げ脚連動、樹脂木目ボード）,K-520B,7885,8950
00167-000106,シーホネンス株式会社,和夢 “純”（ショート/レギュラー、3モーター、樹脂木目ボード）,K-530,10073,11820
00167-000107,シーホネンス株式会社,和夢 “雅”（ショート/レギュラー、2モーター、ケアモーション、樹脂木目ボード）,K-620A,8850,10100
00167-000109,シーホネンス株式会社,和夢 “雅”（ショート/レギュラー、3モーター、樹脂木目ボード）,K-630,10222,12010
00167-000110,シーホネンス株式会社,サイドレール,K-170S,377,500
00167-000111,シーホネンス株式会社,サイドレール,K-170R,419,540
00167-000112,シーホネンス株式会社,サイドレール,K-170L,321,440
00167-000113,シーホネンス株式会社,セーフティーサイドレール,K-180,475,580
00167-000115,シーホネンス株式会社,キャスター（φ7.5cm）,K-126,770,1010
00167-000116,シーホネンス株式会社,オーバーテーブル,K-136,518,570
00167-000117,シーホネンス株式会社,回転式アーム介助バー,AB-27F [DB],662,940
00167-000121,シーホネンス株式会社,リバーシブルマットレス シングル・ショート／レギュラー,RM-110L,1998,2190
00167-000123,シーホネンス株式会社,ダブルウェーブマットレス シングル・ショート／レギュラー,MB-3511L,1987,2140
00167-000125,シーホネンス株式会社,ダブルウェーブマットレス シングル・ショート／レギュラー,MB-2510L,1938,2210
00167-000126,シーホネンス株式会社,ダブルウェーブマットレス シングル・ロング,MB-2510L,1994,2210
00167-000128,シーホネンス株式会社,和夢 “純”（ロング、2ﾓｰﾀｰ、ｹｱﾓｰｼｮﾝ、樹脂木目ﾎﾞｰﾄﾞ）,K-520A,7388,8860
00167-000130,シーホネンス株式会社,和夢 “純”（ロング、3モーター、樹脂木目ボード）,K-530,10140,12290
00167-000134,シーホネンス株式会社,キャスター（φ10cm）,K-127,854,1090
00167-000135,シーホネンス株式会社,アジャスト支援バー（和夢シリーズ用）,K-35,2010,2360
00167-000137,シーホネンス株式会社,サイドレール,K-171,401,530
00167-000138,シーホネンス株式会社,回転式アーム介助バー（レギュラー）,K-40R,1675,2150
00167-000139,シーホネンス株式会社,回転式アーム介助バー（ロング）,K-40L,831,1380
00167-000140,シーホネンス株式会社,サイドレール,K-190S,316,410
00167-000141,シーホネンス株式会社,サイドレール,K-190R,336,450
00167-000142,シーホネンス株式会社,サイドレール,K-1711,289,360
00167-000143,シーホネンス株式会社,昇降サイドテーブル,K-4100M,1923,2260
00167-000146,シーホネンス株式会社,ベッドサイドテーブル,K-4000M,2943,3310
00167-000147,シーホネンス株式会社,和夢シリーズ “凛”（ショート/レギュラー、2モーター、ケアモーション、樹脂製ボード）,K-720A,7378,8520
00167-000148,シーホネンス株式会社,和夢シリーズ “凛”（ショート/レギュラー、2モーター、脚連動モーション、樹脂製ボード）,K-720B,8326,9640
00167-000149,シーホネンス株式会社,和夢シリーズ “凛”（ショート/レギュラー、3モーター、樹脂製ボード）,K-730,9718,11350
00167-000151,シーホネンス株式会社,ベッドサイドレール,K-172,365,480
00167-000152,シーホネンス株式会社,ベッドサイドレール,K-170SS,385,510
00167-000153,シーホネンス株式会社,和夢シリーズ “凛”（セミショート、2モーター、ケアモーション、樹脂製ボード）,K-720A,7207,8540
00167-000154,シーホネンス株式会社,和夢シリーズ “凛”（セミショート、2モーター、脚連動モーション、樹脂製ボード）,K-720B,7734,8450
00167-000155,シーホネンス株式会社,和夢シリーズ “凛”（セミショート、3モーター、樹脂製ボード）,K-730,9432,11320
00167-000163,シーホネンス株式会社,和夢シリーズ “凛”（セミショート、2モーター、ケアモーション、木製ボード）,K-720A（W3）SS,7608,9210
00167-000164,シーホネンス株式会社,和夢シリーズ “凛”（セミショート、2モーター、脚連動モーション、木製ボード）,K-720B（W3）SS,7150,7820
00167-000165,シーホネンス株式会社,和夢シリーズ “凛”（セミショート、3モーター、木製ボード）,K-730（W3）SS,9547,10410
00167-000183,シーホネンス株式会社,サイドレール,K-173,418,530
00167-000184,シーホネンス株式会社,ダブルウェーブマットレス　シングル・レギュラー,MB-2500L,1830,2230
00167-000185,シーホネンス株式会社,ダブルウェーブマットレス　シングル・レギュラー,MB-2500M,1831,2090
00167-000188,シーホネンス株式会社,回転式アーム介助バー,AB-41R,1274,1650
00167-000189,シーホネンス株式会社,ベッドサイドレール,AB-170R,442,550
00167-000190,シーホネンス株式会社,シングルウェーブマットレス　シングル・レギュラー,MB-1600L,1221,1450
00167-000192,シーホネンス株式会社,Fit Tex フィットテックス,SA-1024L,1894,2140
00167-000194,シーホネンス株式会社,C-MAX　シーマックス,SA-2034L,4896,5450
00167-000195,シーホネンス株式会社,和夢シリーズ “彩”（3モーター、マルチモジュール、90cm幅）,NX-1W,9843,11150
00167-000196,シーホネンス株式会社,和夢シリーズ “彩”（3モーター、マルチモジュール、83cm幅）,NX-1N,10238,11280
00167-000197,シーホネンス株式会社,和夢シリーズ “彩”（2モーター、マルチモジュール、90cm幅）,NX-2W,8180,9070
00167-000198,シーホネンス株式会社,和夢シリーズ “彩”（2モーター、マルチモジュール、83cm幅）,NX-2N,8220,9040
00167-000199,シーホネンス株式会社,サイドレール,K-173S,391,510
00167-000200,シーホネンス株式会社,サイドレール,K-173L,328,440
00167-000201,シーホネンス株式会社,サイドレール,K-190SX,346,450
00167-000202,シーホネンス株式会社,サイドレール,K-190RX,334,430
00167-000204,シーホネンス株式会社,回転式アーム介助バー,K-40RX,1622,2060
00167-000205,シーホネンス株式会社,回転式アーム介助バー,K-45R,1779,2180
00167-000206,シーホネンス株式会社,ロングボトムユニット（900幅）,LBU-9008F,1689,2130
00167-000208,シーホネンス株式会社,キャスター（φ10cm）,K-128/K-128WR,814,1030
00167-000209,シーホネンス株式会社,キャスター（φ7.5cm）,K-129/K-129WR,830,1070
00167-000210,シーホネンス株式会社,サイドレール（2本1組）カバー付,K-170RC,545,700
00167-000219,シーホネンス株式会社,後付けフットモーターユニット,FMU-L2780,1938,2190
